title,imageSrc
ปีกไก่ทอด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3CN2WAC2/detail/5c84004f25c946328046c5b58cbd2aa6_1588676787436528033.webp
ข้อไก่ทอด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021100807230224817/detail/menueditor_item_56d58e1eb17b49989dda2aaab409778a_1633677759650367862.webp
ไส่กรอกอีสาน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3CTZEEL2/detail/3ddcdb387e3644459bcf98fee901dd7b_1588676787935139899.webp
เต้าหู้ทอด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3CVXWAGE/detail/5a8a2a3d808f4f20b94449e75ff68c08_1588676788293398203.webp
ยำชะอมไข่ทอด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021100807255814722/detail/menueditor_item_fdc92358a4434705a2513d0c9bb34caf_1633677802885292982.webp
ยำถั่วพลู,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3DAUVHNE/detail/97d73725aa6e44a383e0df2b8c7cc389_1588676788577534225.webp
ยำหมูสับภูเขาไฟ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3DCPLVG6/detail/eabd627647cd4eeaa255a2a6623c92b3_1588676788923041788.webp
ยำวุ้นเส้นทะเล,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3DGENENA/detail/04656632e2494eba8547e49bd764be39_1588676789535812917.webp
ยำผักบุ้งกรอบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20200421145345018095/detail/abff2c151d8648449712c2fa47c190dc_1588676789816356864.webp
น้ำตกคอหมูย่าง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021100807271755640/detail/menueditor_item_889cf02acc9642b0bf099c9f1df111e0_1633678005277502559.webp
ยำหมูยอ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021100807274968721/detail/menueditor_item_5629088f83664f20bd4f054697577148_1633678057117086889.webp
ยำขนมจีนทรงเครื่อง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021100807283642217/detail/menueditor_item_5f681547dd3e44b29d0af6be6fab71b1_1633678086853494768.webp
สลัดปวยเล้งคอหมูย่าง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3DNFJFUA/detail/54b827b75e0847699c174e0008dd65f4_1588676790647261284.webp
กุ้งแช่น้ำปลา,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3DSCLEA6/detail/b4bd2237362640ee8e4e620aa2d13620_1588676791144891786.webp
ปลาหมึกพริกเกลือ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3DUE3XJX/detail/f266b2b30fe54effb9c7664f2985f2d1_1588676791409131700.webp
ลาบหมูทอด,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3DWAK2J6/detail/84a3ce19e38b4ab69bcb61c151442f56_1588676791728762064.webp
ไก่ทอดครีมสลัดลาบ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3EA7M1CX/detail/daa2549d5e194fae943ee7a68086438a_1588676792032085034.webp
หมูทอดงา,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3EC64CNX/detail/76788658e054456fbc16b881ac8d075a_1588676792274415869.webp
เปาะเปี๊ยแฮมชีส,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3EE3UTHE/detail/dea10c8d41174af7970a91fbff420ffd_1588676792482022568.webp
มันเบรคแตก,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021100807344985566/detail/menueditor_item_16fd2dd2868f44b9935af6763812082a_1633678466193303983.webp
ปลากะพงลวกจิ้ม,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2022042308223718997/detail/menueditor_item_61b2ee85cdc84424ac843a72f3d75ab6_1650702111226161023.webp
มันแบรกแตก+ครีมชีสน้ำพริกหนุ่ม,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3ELTW3V6/detail/a466ffc955ff4b81ad688ebc7d734c37_1588676793059551595.webp
ยำมะม่วงปลาแซลมอน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3DRAJ2LT/detail/44556b0715994a24b435194fed6b6102_1588676790881680467.webp
แกงเขียวหวานไก่,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3ENRMART/detail/1277f2853dcf421486e8295c0488eb55_1588676793343035708.webp
แกงเขียวหวานเนื้อพริกขี้หนูสวน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3ERX62T6/detail/a46f5e07d7994c058b456d672ee8039d_1588676793626161576.webp
แกงส้มชะอมกุ้ง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3EVYLBNA/detail/82c229c4431948b3b98a711045d8a958_1588676794125881236.webp
ต้มบ๊วยหมูสับกุ้งสับ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021100807465459417/detail/menueditor_item_8a4793b76856408580dea528681be8d1_1633679128389803759.webp
พะแนงหมู,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3FC2CEL6/detail/c0ed65e5851c42c383ec4034a7e9c708_1588676794611445022.webp
แกงจืดเต้าหู้หมูสับปวยเล้ง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3FEX2TSE/detail/59f1813dc3a04127ac3052e936cbc1a2_1588676794900032436.webp
แกงจืดมะระยัดไส้,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3FGZL2GJ/detail/d12f08b36b2849f0b47feb7eb7a6e894_1588676795215672652.webp
แกงเหลืองยอดมะพร้าวอ่อนปลากระพง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3FJRNTCX/detail/dea9638c07634192a89b063370da3ada_1588676795477961942.webp
แกงคั่วปูใบชะพลู,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3FLPXEJJ/detail/4a969a3253b04776b774a35574f96213_1588676795734580981.webp
ต้มยำทะเลรวมมิตร,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3FNRDEVA/detail/851ca44b1d0d434d9ff2cfdc5b358f3f_1588676795979439156.webp
