shopName,name,imageSrc
s-and-p,ข้าวคลุกกะปิ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20230208055344019027/detail/8534e83ca92d4ddf81abb5cfe2d8e1f0_1681123143393121063.webp
fam-time,มักกะโรนีอบชีส,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021070704134076469/detail/menueditor_item_6e8af48d869749b3a17a5e3b2aab8182_1691400290903133737.webp
kub-kao-kub-pla,มักกะโรนีอบชีส,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021183221144319/detail/9c2f1e47831b4a4c9c6a945ef0bdbdde_1634841127365279013.webp
kub-kao-kub-pla,มักกะโรนีอบชีส,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021183146202582/detail/a0aec2f4640f441e96b054ce0ed69f61_1634841096354506457.webp
kub-kao-kub-pla,มักกะโรนีอบชีส,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20211021183128723952/detail/4b47b2e38d304814961af7e6d99a4862_1634841083362101200.webp
kub-kao-kub-pla,มักกะโรนีอบชีส,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CYMFLFKZRN4HKE-CYMFLFL3LZBKLN/detail/03d88d77e8fe4926b6d900c3196c0de0_1601502992677042166.webp
fam-time,ข้าวผัดสเต็กหมูน้ำจิ้มแจ่ว,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021071009031967252/detail/menueditor_item_a654d8caac584b4183b3f1fcd5614179_1691401134725557657.webp
fam-time,ข้าวผัดกะเพราแซลมอน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CYXXV2L2RBLKTT-CZAHDAN3C6NATA/detail/menueditor_item_4a1813d54878469bb43b9a60b6e71b80_1691401202540166657.webp
fam-time,ข้าวผัดกะเพราสเต็กหมู,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CYXXV2L2RBLKTT-CZAHDAN3AJE2ET/detail/menueditor_item_69f09b58abdf4f04a635462c2142bf4b_1691401170638682261.webp
fam-time,สเต็กหมูพริกไทยดำ ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021070704401296897/detail/menueditor_item_875d01f3ad744d6aa9348927d46be288_1691400771453731315.webp
fam-time,สเต็กหมูซอสบาร์บีคิว+มันเวจอบชีส ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021070704433837839/detail/menueditor_item_63ce48f88a564259bc844e06bca07c19_1691400741282701245.webp
fam-time,เฟตตูชินีผัดซอสพริกศรีราชาไก่ย่าง ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021070704112941915/detail/menueditor_item_d53dd965cfb2448eb70b69a304fdc427_1691400204912823129.webp
fam-time,สลัดแซลมอนกริลล์น้ำสลัดบัลซามิค ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021071009150615569/detail/menueditor_item_54774915ecb54195890a3d3461c77d00_1691401027464964935.webp
fam-time,เคซาดิลญ่าผักโขมเบคอน ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021070703541082247/detail/menueditor_item_503c17ece49c48039e675f29bf0e07f8_1691401481160841342.webp
fam-time,สลัดผักย่าง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021071009193991061/detail/menueditor_item_8bfa424f3682475ea34585c5355659cd_1691400974481741923.webp
ohkajhu,สลัดผักย่าง,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE20201015100638225833/detail/ec1ef7ac55d8470aab82d86a3c440954_1654516703371852344.webp
fam-time,ซีซ่าสลัด ,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021071009081806775/detail/menueditor_item_e0c6e9557f4b4147b5e3a5efd601d846_1691401085038288074.webp
baan-Ying,ข้าวไข่ข้นไก่ทอดซอสไห่หนาน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2023060814575069941/detail/menueditor_item_4081029bb37846f49718c1246ab2c9cc_1686236240374183367.webp
baan-Ying,ข้าวไข่ข้นไก่ทอดซอสไห่หนาน,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/THITE2021071701240132234/detail/menueditor_item_55173bc9857b40edaec2f56308db27d4_1626484926627013575.webp
baan-Ying,ข้าวผัดปลาทูกากหมู,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/3-CZDFBA3CFAMUHA-CZDFBA3XRE41RT/detail/d077e2f217574f0abc17ab4500c769c9_1588676820236987981.webp
